Country,Capital,Flag
Saint Kitts and Nevis,Basseterre,Saint_Kitts_and_Nevis.jpg
Saint Lucia,Castries,Saint_Lucia.jpg
Saint Vincent and the Grenadines,Kingstown,Saint_Vincent_and_the_Grenadines.jpg
Samoa,Apia,Samoa.jpg
San Marino,San Marino,San_Marino.jpg
Sao Tome and Principe,São Tomé,Sao_Tome_and_Principe.jpg
Saudi Arabia,Riyadh,Saudi_Arabia.jpg
Scotland,Edinburgh,Scotland.jpg
Senegal,Dakar,Senegal.jpg
Serbia,Belgrade,Serbia.jpg
Seychelles,Victoria,Seychelles.jpg
Sierra Leone,Freetown,Sierra_Leone.jpg
Singapore,Singapore,Singapore.jpg
Slovakia,Bratislava,Slovakia.jpg
Slovenia,Ljubljana,Slovenia.jpg
Solomon Islands,Honiara,Solomon_Islands.jpg
Somalia,Mogadishu,Somalia.jpg
South Africa,Pretoria,South_Africa.jpg
South Korea,Seoul,South_Korea.jpg
South Sudan,Juba,South_Sudan.jpg
Spain,Madrid,Spain.jpg
Sri Lanka,Sri Jayawardenapura Kotte,Sri_Lanka.jpg
Sudan,Khartoum,Sudan.jpg
Suriname,Paramaribo,Suriname.jpg
Swaziland,Mbabane,Swaziland.jpg
Sweden,Stockholm,Sweden.jpg
Switzerland,Bern,Switzerland.jpg
Syria,Damascus,Syria.jpg
Taiwan,Taipei,Taiwan.jpg
Tajikistan,Dushanbe,Tajikistan.jpg
Tanzania,Dodoma,Tanzania.jpg
Thailand,Bangkok,Thailand.jpg
the Gambia,Banjui,theGambia.jpg
Togo,Lomé,Togo.jpg
Tonga,Nukualofa,Tonga.jpg
Trinidad and Tobago,Port of Spain,Trinidad_and_Tobago.jpg
Tunisia,Tunis,Tunisia.jpg
Turkey,Ankara,Turkey.jpg
Turkmenistan,Ashgabat,Turkmenistan.jpg
Tuvalu,Funafuti,Tuvalu.jpg
Uganda,Kampala,Uganda.jpg
Ukraine,Kiev,Ukraine.jpg
United Arab Emirates,Abu Dhabi,United_Arab_Emirates.jpg
United Kingdom,London,United_Kingdom.jpg
United States,Washington D.C.,United_States.jpg
Uruguay,Montevideo,Uruguay.jpg
Uzbekistan,Tashkent,Uzbekistan.jpg
Vanuatu,Port Vila,Vanuatu.jpg
Venezuela,Caracas,Venezuela.jpg
Vietnam,Hanoi,Vietnam.jpg
Wales,Cardiff,Wales.jpg
Yemen,Sana'a,Yemen.jpg
Zambia,Lusaka,Zambia.jpg
Zimbabwe,Harare,Zimbabwe.jpg
